ID. Ils,IUPAC,FG,MW,Temperatura reducida,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,Tensión superficial
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.439546238,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,54.09
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.446621639,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,53.8
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.453059733,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,53.59
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.459211689,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,53.29
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.466209052,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,52.95
436,1-methyl-3-propylimidazolium chloride,C7H13ClN2,160.65,0.473908753,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217179167,511.64,535.15,768.8610899,30.69021245,0.24563161,0.45292223,52.57
437,1-ethyl-1H-imidazolium acetate,C7H12N2O2,156.19,0.392471978,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056693626,479.65,539.9,759.5446727,34.42247695,0.261445395,0.615131902,37.8
437,1-ethyl-1H-imidazolium acetate,C7H12N2O2,156.19,0.405242787,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056693626,479.65,539.9,759.5446727,34.42247695,0.261445395,0.615131902,36.7
437,1-ethyl-1H-imidazolium acetate,C7H12N2O2,156.19,0.419330174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056693626,479.65,539.9,759.5446727,34.42247695,0.261445395,0.615131902,36.1
437,1-ethyl-1H-imidazolium acetate,C7H12N2O2,156.19,0.432232641,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056693626,479.65,539.9,759.5446727,34.42247695,0.261445395,0.615131902,35
